G2A07,B,Which of the following statements is true of single sideband (SSB)?,Only one sideband and the carrier are transmitted; the other sideband is suppressed,Only one sideband is transmitted; the other sideband and carrier are suppressed,"SSB is the only voice mode authorized on the 20-, 15-, and 10-meter amateur bands","SSB is the only voice mode authorized on the 160-, 75-, and 40-meter amateur bands"
E9A10,A,Which of the following improves the efficiency of a ground-mounted quarter-wave vertical antenna?,Installing a ground radial system,Isolating the coax shield from ground,Shortening the radiating element,All these choices are correct
G4A11,B,Why should the ALC system be inactive when transmitting AFSK data signals?,ALC will invert the modulation of the AFSK mode,The ALC action distorts the signal,"When using digital modes, too much ALC activity can cause the transmitter to overheat",All these choices are correct
G2C01,D,Which of the following describes full break-in CW operation (QSK)?,Breaking stations send the Morse code prosign “BK”,"Automatic keyers, instead of hand keys, are used to send Morse code",An operator must activate a manual send/receive switch before and after every transmission,Transmitting stations can receive between code characters and elements
T1E01,D,When may an amateur station transmit without a control operator?,"When using automatic control, such as in the case of a repeater",When the station licensee is away and another licensed amateur is using the station,When the transmitting station is an auxiliary station,Never
G4C10,A,What could be a symptom caused by a ground loop in your station’s audio connections?,You receive reports of “hum” on your station’s transmitted signal,The SWR reading for one or more antennas is suddenly very high,An item of station equipment starts to draw excessive amounts of current,You receive reports of harmonic interference from your station
T0B07,C,Which of the following is an important safety rule to remember when using a crank-up tower?,This type of tower must never be painted,This type of tower must never be grounded,"This type of tower must not be climbed unless it is retracted, or mechanical safety locking devices have been installed",All these choices are correct
E8B03,A,What is the modulation index of an FM phone signal having a maximum frequency deviation of 3000 Hz either side of the carrier frequency if the highest modulating frequency is 1000 Hz?,3,0.3,6,0.6
E4A01,A,Which of the following limits the highest frequency signal that can be accurately displayed on a digital oscilloscope?,Sampling rate of the analog-to-digital converter,Analog-to-digital converter reference frequency,Q of the circuit,All these choices are correct
G7C06,A,Which of the following is an advantage of a digital signal processing (DSP) filter compared to an analog filter?,A wide range of filter bandwidths and shapes can be created,Fewer digital components are required,Mixing products are greatly reduced,The DSP filter is much more effective at VHF frequencies
T9A01,C,What is a beam antenna?,An antenna built from square aluminum beams,An omnidirectional antenna invented by Clarence Beam,An antenna that concentrates signals in one direction,An antenna that focuses the signal into two intense rays
E3B06,B,On which of the following amateur bands is long-path propagation most frequent?,160 meters and 80 meters,40 meters and 20 meters,10 meters and 6 meters,6 meters and 2 meters
T1D12,A,Which of the following is required when making on-the-air test transmissions?,Identify the transmitting station,Conduct tests only between 10 p.m. and 6 a.m. local time,Notify the FCC of the transmissions,All these choices are correct
E0A02,B,"When evaluating RF exposure levels from your station at a neighbor’s home, what must you do?",Ensure signals from your station are less than the controlled maximum permissible exposure (MPE) limits,Ensure signals from your station are less than the uncontrolled maximum permissible exposure (MPE) limits,Ensure signals from your station are less than the controlled maximum permissible emission (MPE) limits,Ensure signals from your station are less than the uncontrolled maximum permissible emission (MPE) limits
G4C04,A,What sound is heard from an audio device experiencing RF interference from a CW transmitter?,On-and-off humming or clicking,A CW signal at a nearly pure audio frequency,A chirpy CW signal,Severely distorted audio
E6A03,C,Why does a PN-junction diode not conduct current when reverse biased?,Only P-type semiconductor material can conduct current,Only N-type semiconductor material can conduct current,"Holes in P-type material and electrons in the N-type material are separated by the applied voltage, widening the depletion region","Excess holes in P-type material combine with the electrons in N-type material, converting the entire diode into an insulator"
G2E09,C,How do you join a contact between two stations using the PACTOR protocol?,Send broadcast packets containing your call sign while in MONITOR mode,Transmit a steady carrier until the PACTOR protocol times out and disconnects,"Joining an existing contact is not possible, PACTOR connections are limited to two stations",Send a NAK code
T1F11,B,Which of the following is a requirement for the issuance of a club station license grant?,The trustee must have an Amateur Extra Class operator license grant,The club must have at least four members,The club must be registered with the American Radio Relay League (ARRL),All these choices are correct
E1A04,C,May an Extra class operator answer the CQ of a station on 3.601 MHz LSB phone?,"Yes, the entire signal will be inside the SSB allocation for Extra class operators","Yes, the displayed frequency is within the 75-meter phone band segment","No, the sideband components will extend beyond the edge of the phone band segment","No, US stations are not permitted to use phone emissions below 3.610 MHz"
G2C10,D,What does the Q signal “QRN” mean?,Send more slowly,Stop sending,Zero beat my signal,I am troubled by static
E6E03,D,Which of the following materials supports the highest frequency of operation when used in MMICs?,Silicon,Silicon nitride,Silicon dioxide,Gallium nitride
G5A03,D,Which of the following is opposition to the flow of alternating current in an inductor?,Conductance,Reluctance,Admittance,Reactance
E3C02,A,What is indicated by a rising A-index or K-index?,Increasing disturbance of the geomagnetic field,Decreasing disturbance of the geomagnetic field,Higher levels of solar UV radiation,An increase in the critical frequency
E9G11,B,In what units are the wavelength scales on a Smith chart calibrated?,In fractions of transmission line electrical frequency,In fractions of transmission line electrical wavelength,In fractions of antenna electrical wavelength,In fractions of antenna electrical frequency
E9A08,A,Which frequency band has the smallest first Fresnel zone?,5.8 GHz,3.4 GHz,2.4 GHz,900 MHz
E6A04,C,What is the name given to an impurity atom that adds holes to a semiconductor crystal structure?,Insulator impurity,N-type impurity,Acceptor impurity,Donor impurity
E6A12,D,What is the purpose of connecting Zener diodes between a MOSFET gate and its source or drain?,To provide a voltage reference for the correct amount of reverse-bias gate voltage,To protect the substrate from excessive voltages,To keep the gate voltage within specifications and prevent the device from overheating,To protect the gate from static damage
E9F02,C,Which of the following has the biggest effect on the velocity factor of a transmission line?,The characteristic impedance,The transmission line length,The insulating dielectric material,The center conductor resistivity
G5B01,B,What dB change represents a factor of two increase or decrease in power?,Approximately 2 dB,Approximately 3 dB,Approximately 6 dB,Approximately 9 dB
T5B11,A,Which decibel value represents a power increase from 20 watts to 200 watts?,10 dB,12 dB,18 dB,28 dB
E9C13,B,How does the radiation pattern of a horizontally polarized antenna vary with increasing height above ground?,The takeoff angle of the lowest elevation lobe increases,The takeoff angle of the lowest elevation lobe decreases,The horizontal beamwidth increases,The horizontal beamwidth decreases
G1D07,C,Volunteer Examiners are accredited by what organization?,The Federal Communications Commission,The Universal Licensing System,A Volunteer Examiner Coordinator,The Wireless Telecommunications Bureau
G1D10,B,What is the minimum age that one must be to qualify as an accredited Volunteer Examiner?,16 years,18 years,21 years,There is no age limit
E1E01,A,For which types of out-of-pocket expenses do the Part 97 rules state that VEs and VECs may be reimbursed?,"Preparing, processing, administering, and coordinating an examination for an amateur radio operator license",Teaching an amateur operator license examination preparation course,No expenses are authorized for reimbursement,Providing amateur operator license examination preparation training materials
T2B06,A,What type of signaling to a repeater uses two simultaneous audio tones?,DTMF,CTCSS,GMRS,D-STAR
T6C12,C,Which of the following is accurately represented in electrical schematics?,Wire lengths,Physical appearance of components,Component connections,All these choices are correct
E8D09,D,What is considered an acceptable maximum IMD level for an idling PSK signal?,+5 dB,+10 dB,+15 dB,-30 dB
G5B11,B,What is the ratio of PEP to average power for an unmodulated carrier?,0.707,1.00,1.414,2.00
G9B09,A,Which of the following is an advantage of using a horizontally polarized as compared to a vertically polarized HF antenna?,Lower ground losses,Lower feed point impedance,Shorter radials,Lower radiation resistance
T0C11,C,What is the definition of duty cycle during the averaging time for RF exposure?,The difference between the lowest and highest power output of a transmitter,The difference between the PEP and the average power output of a transmitter,The percentage of time that a transmitter is transmitting,The percentage of time that a transmitter is not transmitting
E7E03,D,What is a frequency discriminator?,An FM generator circuit,A circuit for filtering closely adjacent signals,An automatic band-switching circuit,A circuit for detecting FM signals
G5C01,C,What causes a voltage to appear across the secondary winding of a transformer when an AC voltage source is connected across its primary winding?,Capacitive coupling,Displacement current coupling,Mutual inductance,Mutual capacitance
G9A10,D,What standing wave ratio results from connecting a 50-ohm feed line to a 10-ohm resistive load?,2:1,1:2,1:5,5:1
T3B09,D,What frequency range is referred to as UHF?,30 to 300 kHz,30 to 300 MHz,300 to 3000 kHz,300 to 3000 MHz
G8C16,D,Which of the following provide digital voice modes?,"WSPR, MFSK16, and EasyPAL","FT8, FT4, and FST4","Winlink, PACTOR II, and PACTOR III","DMR, D-STAR, and SystemFusion"
T5C03,D,What describes the ability to store energy in a magnetic field?,Admittance,Capacitance,Resistance,Inductance
T8C02,B,Which of these items would be useful for a hidden transmitter hunt?,Calibrated SWR meter,A directional antenna,A directional wattmeter,All these choices are correct
T7D04,D,Which instrument is used to measure electric current?,An ohmmeter,An electrometer,A voltmeter,An ammeter
G2C02,A,What should you do if a CW station sends “QRS?”,Send slower,Change frequency,Increase your power,Repeat everything twice
G0B04,B,Where should the station’s lightning protection ground system be located?,As close to the station equipment as possible,Outside the building,Next to the closest power pole,Parallel to the water supply line
G4D07,C,How much must the power output of a transmitter be raised to change the S meter reading on a distant receiver from S8 to S9?,Approximately 1.5 times,Approximately 2 times,Approximately 4 times,Approximately 8 times
G6B11,B,What is an SMA connector?,A type-S to type-M adaptor,A small threaded connector suitable for signals up to several GHz,A connector designed for serial multiple access signals,A type of push-on connector intended for high-voltage applications
T6D04,C,Which of the following displays an electrical quantity as a numeric value?,Potentiometer,Transistor,Meter,Relay
G7B02,D,Which of these classes of amplifiers has the highest efficiency?,Class A,Class B,Class AB,Class C
E2E07,C,How does Q65 differ from JT65?,Keyboard-to keyboard operation is supported,Quadrature modulation is used,Multiple receive cycles are averaged,All these choices are correct
G8C08,B,Which of the following statements is true about PSK31?,Upper case letters are sent with more power,Upper case letters use longer Varicode bit sequences and thus slow down transmission,Error correction is used to ensure accurate message reception,Higher power is needed as compared to RTTY for similar error rates
G9A08,B,"If the SWR on an antenna feed line is 5:1, and a matching network at the transmitter end of the feed line is adjusted to present a 1:1 SWR to the transmitter, what is the resulting SWR on the feed line?",1:1,5:1,Between 1:1 and 5:1 depending on the characteristic impedance of the line,Between 1:1 and 5:1 depending on the reflected power at the transmitter
G7A08,C,Which of the following is characteristic of a switchmode power supply as compared to a linear power supply?,Faster switching time makes higher output voltage possible,Fewer circuit components are required,High-frequency operation allows the use of smaller components,Inherently more stable
T0A07,D,Where should a lightning arrester be installed in a coaxial feed line?,At the output connector of a transceiver,At the antenna feed point,At the AC power service panel,On a grounded panel near where feed lines enter the building
E2A11,B,What type of antenna can be used to minimize the effects of spin modulation and Faraday rotation?,A linearly polarized antenna,A circularly polarized antenna,An isotropic antenna,A log-periodic dipole array
G5B13,B,What is the output PEP of an unmodulated carrier if the average power is 1060 watts?,530 watts,1060 watts,1500 watts,2120 watts
E2D07,C,What digital protocol is used by APRS?,PACTOR,QAM,AX.25,AMTOR
G4C11,C,What technique helps to minimize RF “hot spots” in an amateur station?,Building all equipment in a metal enclosure,Using surge suppressor power outlets,Bonding all equipment enclosures together,Placing low-pass filters on all feed lines
E9H09,A,"What type of radiation pattern is created by a single-turn, terminated loop such as a pennant antenna?",Cardioid,Bidirectional,Omnidirectional,Hyperbolic
E4B09,B,Which of the following can be measured by a two-port vector network analyzer?,Phase noise,Filter frequency response,Pulse rise time,Forward power
G9A11,A,What is the effect of transmission line loss on SWR measured at the input to the line?,Higher loss reduces SWR measured at the input to the line,Higher loss increases SWR measured at the input to the line,Higher loss increases the accuracy of SWR measured at the input to the line,Transmission line loss does not affect the SWR measurement
G7C08,D,Which parameter affects receiver sensitivity?,Input amplifier gain,Demodulator stage bandwidth,Input amplifier noise figure,All these choices are correct
T7A08,C,Which of the following describes combining speech with an RF carrier signal?,Impedance matching,Oscillation,Modulation,Low-pass filtering
G2A10,B,Which of the following statements is true of VOX operation versus PTT operation?,The received signal is more natural sounding,It allows “hands free” operation,It occupies less bandwidth,It provides more power output
G4A05,C,Why is automatic level control (ALC) used with an RF power amplifier?,To balance the transmitter audio frequency response,To reduce harmonic radiation,To prevent excessive drive,To increase overall efficiency
T7D02,B,How is a voltmeter connected to a component to measure applied voltage?,In series,In parallel,In quadrature,In phase
G5C03,A,"What is the total resistance of a 10-, a 20-, and a 50-ohm resistor connected in parallel?",5.9 ohms,0.17 ohms,17 ohms,80 ohms
T9A11,C,What is antenna gain?,The additional power that is added to the transmitter power,The additional power that is required in the antenna when transmitting on a higher frequency,The increase in signal strength in a specified direction compared to a reference antenna,The increase in impedance on receive or transmit compared to a reference antenna
T3C06,A,What type of propagation is responsible for allowing over-the-horizon VHF and UHF communications to ranges of approximately 300 miles on a regular basis?,Tropospheric ducting,D region refraction,F2 region refraction,Faraday rotation
T5C08,A,What formula is used to calculate electrical power (P) in a DC circuit?,P = I x E,P = E / I,P = I2 x E,P = I / E
E8C12,C,What factors affect the bandwidth of a transmitted CW signal?,IF bandwidth and Q,Modulation index and output power,Keying speed and shape factor (rise and fall time),All these choices are correct
T8B11,A,Who is permitted to receive telemetry from an amateur radio satellite?,Anyone,Only the satellite control operator,Only the control operator or a licensed radio amateur who has received the encryption key from the control operator,Only a licensed radio amateur who has received the encryption key from AMSAT
G4E08,A,In what configuration are the individual cells in a solar panel connected together?,Series-parallel,Shunt,Bypass,Full-wave bridge
G4D02,B,How does a speech processor affect a single sideband phone signal?,It increases peak power,It increases average power,It reduces harmonic distortion,It reduces intermodulation distortion
E6A06,B,What is the beta of a bipolar junction transistor?,The frequency at which the current gain is reduced to 0.707,The change in collector current with respect to the change in base current,The breakdown voltage of the base-to-collector junction,The switching speed
G2D06,C,How is a directional antenna pointed when making a “long-path” contact with another station?,Toward the rising sun,Along the gray line,180 degrees from the station’s short-path heading,Toward the north
E7E08,C,What are the principal frequencies that appear at the output of a mixer?,Two and four times the input frequency,The square root of the product of input frequencies,The two input frequencies along with their sum and difference frequencies,1.414 and 0.707 times the input frequency
G9C07,C,What does “front-to-back ratio” mean in reference to a Yagi antenna?,The number of directors versus the number of reflectors,The relative position of the driven element with respect to the reflectors and directors,The power radiated in the major lobe compared to that in the opposite direction,The ratio of forward gain to dipole gain
E7E01,B,Which of the following can be used to generate FM phone signals?,Balanced modulation of the audio amplifier,Reactance modulation of a local oscillator,Reactance modulation of the final amplifier,Balanced modulation of a local oscillator
E9B10,A,What is the principle of a Method of Moments analysis?,"A wire is modeled as a series of segments, each having a uniform value of current",A wire is modeled as a single sine-wave current generator,A wire is modeled as a single sine-wave voltage source,"A wire is modeled as a series of segments, each having a distinct value of voltage across it"
G1A11,B,"When General class licensees are not permitted to use the entire voice portion of a band, which portion of the voice segment is available to them?",The lower frequency portion,The upper frequency portion,"The lower frequency portion on frequencies below 7.3 MHz, and the upper portion on frequencies above 14.150 MHz","The upper frequency portion on frequencies below 7.3 MHz, and the lower portion on frequencies above 14.150 MHz"
E9F06,C,"What is the approximate physical length of an air-insulated, parallel conductor transmission line that is electrically 1/2 wavelength long at 14.10 MHz?",7.0 meters,8.5 meters,10.6 meters,13.3 meters
E3B12,B,What is chordal-hop propagation?,Propagation away from the great circle bearing between stations,Successive ionospheric refractions without an intermediate reflection from the ground,Propagation across the geomagnetic equator,Signals reflected back toward the transmitting station
E1E10,C,What must the administering VEs do after the administration of a successful examination for an amateur operator license?,They must collect and send the documents directly to the FCC,They must collect and submit the documents to the coordinating VEC for grading,They must submit the application document to the coordinating VEC according to the coordinating VEC instructions,They must return the documents to the applicant for submission to the FCC according to the FCC instructions
G9B08,A,How does the feed point impedance of a 1/2 wave dipole change as the feed point is moved from the center toward the ends?,It steadily increases,It steadily decreases,It peaks at about 1/8 wavelength from the end,It is unaffected by the location of the feed point
E3C01,D,What is the cause of short-term radio blackouts?,Coronal mass ejections,Sunspots on the solar equator,North-oriented interplanetary magnetic field,Solar flares
T1C01,D,For which classes of amateur radio licenses does the FCC currently issue new licenses?,"Novice, Technician, General, Amateur Extra","Technician, Technician Plus, General, Amateur Extra","Novice, Technician Plus, General, Advanced","Technician, General, Amateur Extra"
G7B10,B,Which of the following describes a linear amplifier?,Any RF power amplifier used in conjunction with an amateur transceiver,An amplifier in which the output preserves the input waveform,A Class C high efficiency amplifier,An amplifier used as a frequency multiplier
G2D10,B,What is QRP operation?,Remote piloted model control,Low-power transmit operation,Transmission using Quick Response Protocol,Traffic relay procedure net operation
E1E11,B,What must the VE team do if an examinee scores a passing grade on all examination elements needed for an upgrade or new license?,Photocopy all examination documents and forward them to the FCC for processing,Three VEs must certify that the examinee is qualified for the license grant and that they have complied with the administering VE requirements,Issue the examinee the new or upgrade license,All these choices are correct
E9H06,D,What indicates the correct value of terminating resistance for a Beverage antenna?,Maximum feed point DC resistance at the center of the desired frequency range,Minimum low-angle front-to-back ratio at the design frequency,Maximum DC current in the terminating resistor,Minimum variation in SWR over the desired frequency range
E7H12,B,Which of the following ensures that a crystal oscillator operates on the frequency specified by the crystal manufacturer?,Provide the crystal with a specified parallel inductance,Provide the crystal with a specified parallel capacitance,Bias the crystal at a specified voltage,Bias the crystal at a specified current
G4B07,B,What signals are used to conduct a two-tone test?,Two audio signals of the same frequency shifted 90 degrees,Two non-harmonically related audio signals,Two swept frequency tones,Two audio frequency range square wave signals of equal amplitude
E3A11,B,What is a typical range for tropospheric duct propagation of microwave signals?,10 miles to 50 miles,100 miles to 300 miles,"1,200 miles","2,500 miles"
E2D06,A,Which of the following is a method for establishing EME contacts?,Time-synchronous transmissions alternating between stations,Storing and forwarding digital messages,Judging optimum transmission times by monitoring beacons reflected from the moon,High-speed CW identification to avoid fading
G1E12,A,When may third-party messages be transmitted via remote control?,Under any circumstances in which third party messages are permitted by FCC rules,Under no circumstances except for emergencies,Only when the message is intended for licensed radio amateurs,Only when the message is intended for third parties in areas where licensing is controlled by the FCC
T7A05,D,What is the name of a circuit that generates a signal at a specific frequency?,Reactance modulator,Phase modulator,Low-pass filter,Oscillator
T5A10,C,Which term describes the rate at which electrical energy is used?,Resistance,Current,Power,Voltage
E5A03,D,What is the magnitude of the impedance of a series RLC circuit at resonance?,"High, compared to the circuit resistance",Approximately equal to capacitive reactance,Approximately equal to inductive reactance,Approximately equal to circuit resistance
G5C08,D,What is the equivalent capacitance of two 5.0-nanofarad capacitors and one 750-picofarad capacitor connected in parallel?,576.9 nanofarads,"1,733 picofarads","3,583 picofarads",10.750 nanofarads
T2B12,A,What is the digital color code used on DMR repeater systems?,An access code which must be programmed into a DMR transmitter to access a specific repeater,A code which automatically programs the repeater offset to a frequency chosen by the user,A code which identifies the specific CODEC being used so that the repeater can properly decode the audio,A code transmitted by the repeater to indicate health and status of the equipment
G6B03,A,Which of the following is an advantage of CMOS integrated circuits compared to TTL integrated circuits?,Low power consumption,High power handling capability,Better suited for RF amplification,Better suited for power supply regulation
E2A06,A,What are Keplerian elements?,Parameters that define the orbit of a satellite,Phase reversing elements in a Yagi antenna,High-emission heater filaments used in magnetron tubes,Encrypting codes used for spread spectrum modulation
E6B08,A,Which of the following is a Schottky barrier diode?,Metal-semiconductor junction,Electrolytic rectifier,PIN junction,Thermionic emission diode
E7A05,D,Which of the following circuits continuously alternates between two states without an external clock signal?,Monostable multivibrator,J-K flip-flop,T flip-flop,Astable multivibrator
G2A09,D,"Why do most amateur stations use lower sideband on the 160-, 75-, and 40-meter bands?",Lower sideband is more efficient than upper sideband at these frequencies,Lower sideband is the only sideband legal on these frequency bands,Because it is fully compatible with an AM detector,It is commonly accepted amateur practice
G8A04,B,What emission is produced by a reactance modulator connected to a transmitter RF amplifier stage?,Multiplex modulation,Phase modulation,Amplitude modulation,Pulse modulation
T7C08,D,Which instrument can be used to determine SWR?,Voltmeter,Ohmmeter,Iambic pentameter,Directional wattmeter
E9C02,A,What type of radiation pattern is created by two 1/4-wavelength vertical antennas spaced 1/4-wavelength apart and fed 90 degrees out of phase?,Cardioid,A figure-eight end-fire along the axis of the array,A figure-eight broadside to the axis of the array,Omni-directional
E1C02,C,Which of the following apply to communications transmitted to amateur stations in foreign countries?,Third party traffic must be limited to that intended for the exclusive use of government and non-Government Organization (NGOs) involved in emergency relief activities,All transmissions must be in English,Communications must be limited to those incidental to the purpose of the amateur service and remarks of a personal nature,All these choices are correct
T1E11,D,What is a control operator as defined in Part 97?,The person speaking or otherwise communicating messages over an amateur station,The person who is the licensee of an amateur station,An amateur operator identified in the FCC database as responsible for transmissions and FCC rules compliance at a station license location,An amateur operator designated by the licensee of a station to be responsible for transmissions and FCC rules compliance at that station
E1A02,D,"When using a transceiver that displays the carrier frequency of phone signals, which of the following displayed frequencies represents the lowest frequency at which a properly adjusted LSB emission will be totally within the band?",The exact lower band edge,300 Hz above the lower band edge,1 kHz above the lower band edge,3 kHz above the lower band edge
T5B01,C,How many milliamperes is 1.5 amperes?,0.0000015 milliamperes,0.0015 milliamperes,1500 milliamperes,"1,500,000 milliamperes"
T8A05,C,Which of the following signal types has the narrowest bandwidth?,FM voice,SSB voice,CW,Slow-scan TV
G5A09,B,What unit is used to measure reactance?,Farad,Ohm,Ampere,Siemens
T1B09,D,Why should you not set your transmit frequency to be exactly at the edge of an amateur band or sub-band?,To allow for calibration error in the transmitter frequency display,So that modulation sidebands do not extend beyond the band edge,To allow for transmitter frequency drift,All these choices are correct
E5A13,C,What is an effect of increasing Q in a series resonant circuit?,Fewer components are needed for the same performance,Parasitic effects are minimized,Internal voltages increase,Phase shift can become uncontrolled
T5D13,A,In which type of circuit is the current always the same through all components?,Series,Parallel,Resonant,Branch
T6A01,B,What electrical component opposes the flow of current in a DC circuit?,Inductor,Resistor,Inverter,Transformer
T4B09,C,How is a specific group of stations selected on a DMR digital voice transceiver?,By retrieving the frequencies from transceiver memory,By enabling the group’s CTCSS tone,By entering the group’s identification code,"By inserting a five-pin, pre-programmed code plug"
T3A07,C,What weather condition might decrease range at microwave frequencies?,High winds,Low barometric pressure,Precipitation,Colder temperatures
E9B08,D,What is the far field of an antenna?,The region of the ionosphere where radiated power is not refracted,The region where radiated power dissipates over a specified time period,The region where radiated field strengths are constant,The region where the shape of the radiation pattern no longer varies with distance
G7A06,D,What portion of the AC cycle is converted to DC by a full-wave rectifier?,90 degrees,180 degrees,270 degrees,360 degrees
T2A06,D,What is an effective way to seek a call from any phone station when not using a repeater?,"Sign your call sign once, followed by the words “listening for a call;” if there is no answer, change the frequency and repeat","Say “QTC,” followed by “this is” and your call sign; if there is no answer, change the frequency and repeat","Transmit an unmodulated carrier for approximately 10 seconds, followed by “this is” and your call sign, and pause to listen; repeat as necessary","Repeat “CQ” a few times, followed by “this is,” and your call sign, then pause to listen; repeat as necessary"
T3B04,A,What is the velocity of a radio wave traveling through free space?,Speed of light,Speed of sound,0.86 times the speed of light,1.86 times the speed of sound
E9F09,A,What impedance does a 1/4-wavelength transmission line present to an RF generator when the line is shorted at the far end?,Very high impedance,Very low impedance,The same as the characteristic impedance of the transmission line,The same as the generator output impedance
E7D11,D,What is the purpose of an inverter connected to a solar panel output?,Reduce AC ripple on the output,Maintain voltage with varying illumination levels,Prevent discharge when panel is not illuminated,Convert the panel’s output from DC to AC
G2B11,C,How often may RACES training drills and tests be routinely conducted without special authorization?,No more than 1 hour per month,No more than 2 hours per month,No more than 1 hour per week,No more than 2 hours per week
G4B13,C,Which of the following can be measured with an antenna analyzer?,Front-to-back ratio of an antenna,Power output from a transmitter,Impedance of coaxial cable,Gain of a directional antenna
E1B04,C,What must the control operator of a repeater operating in the 70-centimeter band do if a radiolocation system experiences interference from that repeater?,Reduce the repeater antenna HAAT (Height Above Average Terrain),"File an FAA NOTAM (Notice to Air Missions) with the repeater system's ERP, call sign, and six-character grid locator",Cease operation or make changes to the repeater that mitigate the interference,All these choices are correct
E9B07,C,What is the difference in radiated power between a lossless antenna with gain and an isotropic radiator driven by the same power?,The power radiated from the directional antenna is increased by the gain of the antenna,The power radiated from the directional antenna is stronger by its front-to-back ratio,They are the same,The power radiated from the isotropic radiator is 2.15 dB greater than that from the directional antenna
T5B06,D,Which is equal to 3000 milliamperes?,0.003 amperes,0.3 amperes,"3,000,000 amperes",3 amperes
T4B03,A,How is squelch adjusted so that a weak FM signal can be heard?,Set the squelch threshold so that receiver output audio is on all the time,Turn up the audio level until it overcomes the squelch threshold,Turn on the anti-squelch function,Enable squelch enhancement
T1D07,A,Which of the following is an example of an auxiliary station?,A station sending one-way transmissions between a remote repeater receiver and the main repeater transmitter,A backup radio for emergency use in case the main station radio fails,A station used in the Military Auxiliary Radio System for linking government and amateur stations in a digital network,A second station utilized in multi-operator contest stations
G0B13,A,Where should lightning arrestors be located?,Where the feed lines enter the building,"On the antenna, opposite the feed point",In series with each ground lead,At the closest power pole ground electrode
