G1C02,C,What is the maximum transmitter power an amateur station may use on the 12-meter band?,A. 50 watts PEP output,B. 200 watts PEP output,C. 1500 watts PEP output,D. An effective radiated power equivalent to 100 watts from a half-wave dipole
G7B08,B,How is the efficiency of an RF power amplifier determined?,A. Divide the DC input power by the DC output power,B. Divide the RF output power by the DC input power,C. Multiply the RF input power by the reciprocal of the RF output power,D. Add the RF input power to the DC output power
G7C04,D,How is a product detector used?,A. Used in test gear to detect spurious mixing products,B. Used in transmitter to perform frequency multiplication,C. Used in an FM receiver to filter out unwanted sidebands,D. Used in a single sideband receiver to extract the modulated signal
G6B11,B,What is an SMA connector?,A. A type-S to type-M adaptor,B. A small threaded connector suitable for signals up to several GHz,C. A connector designed for serial multiple access signals,D. A type of push-on connector intended for high-voltage applications
G2E08,D,In what segment of the 20-meter band are most digital mode operations commonly found?,"A. At the bottom of the slow-scan TV segment, near 14.230 MHz","B. At the top of the SSB phone segment, near 14.325 MHz","C. In the middle of the CW segment, near 14.100 MHz",D. Between 14.070 MHz and 14.100 MHz
G4C02,C,Which of the following could be a cause of interference covering a wide range of frequencies?,A. Not using a balun or line isolator to feed balanced antennas,B. Lack of rectification of the transmitter’s signal in power conductors,C. Arcing at a poor electrical connection,D. Using a balun to feed an unbalanced antenna
G3C01,A,Which ionospheric region is closest to the surface of Earth?,A. The D region,B. The E region,C. The F1 region,D. The F2 region
G2E01,D,Which mode is normally used when sending RTTY signals via AFSK with an SSB transmitter?,A. USB,B. DSB,C. CW,D. LSB
G8C03,C,What part of a packet radio frame contains the routing and handling information?,A. Directory,B. Preamble,C. Header,D. Trailer
G0B09,A,Which of the following is true of an emergency generator installation?,A. The generator should be operated in a well-ventilated area,B. The generator must be insulated from ground,C. Fuel should be stored near the generator for rapid refueling in case of an emergency,D. All these choices are correct
G7B10,B,Which of the following describes a linear amplifier?,A. Any RF power amplifier used in conjunction with an amateur transceiver,B. An amplifier in which the output preserves the input waveform,C. A Class C high efficiency amplifier,D. An amplifier used as a frequency multiplier
G3C11,D,Which ionospheric region is the most absorbent of signals below 10 MHz during daylight hours?,A. The F2 region,B. The F1 region,C. The E region,D. The D region
G2E13,B,What is another name for a Winlink Remote Message Server?,A. Terminal Node Controller,B. Gateway,C. RJ-45,D. Printer/Server
G3A02,B,What effect does a sudden ionospheric disturbance have on the daytime ionospheric propagation?,A. It enhances propagation on all HF frequencies,B. It disrupts signals on lower frequencies more than those on higher frequencies,C. It disrupts communications via satellite more than direct communications,"D. None, because only areas on the night side of the Earth are affected"
G5C04,D,What is the approximate total resistance of a 100- and a 200-ohm resistor in parallel?,A. 300 ohms,B. 150 ohms,C. 75 ohms,D. 67 ohms
G1D12,C,"When operating a station in South America by remote control over the internet from the US, what regulations apply?",A. Those of both the remote station’s country and the FCC,B. Those of the remote station’s country and the FCC’s third-party regulations,C. Only those of the remote station’s country,D. Only those of the FCC
G0B13,A,Where should lightning arrestors be located?,A. Where the feed lines enter the building,"B. On the antenna, opposite the feed point",C. In series with each ground lead,D. At the closest power pole ground electrode
G8C14,C,Which of the following describes a waterfall display?,"A. Frequency is horizontal, signal strength is vertical, time is intensity","B. Frequency is vertical, signal strength is intensity, time is horizontal","C. Frequency is horizontal, signal strength is intensity, time is vertical","D. Frequency is vertical, signal strength is horizontal, time is intensity"
G4B02,D,Which of the following is an advantage of an oscilloscope versus a digital voltmeter?,A. An oscilloscope uses less power,B. Complex impedances can be easily measured,C. Greater precision,D. Complex waveforms can be measured
G2B11,C,How often may RACES training drills and tests be routinely conducted without special authorization?,A. No more than 1 hour per month,B. No more than 2 hours per month,C. No more than 1 hour per week,D. No more than 2 hours per week
G2A01,A,Which mode is most commonly used for voice communications on frequencies of 14 MHz or higher?,A. Upper sideband,B. Lower sideband,C. Suppressed sideband,D. Double sideband
G8A05,D,What type of modulation varies the instantaneous power level of the RF signal?,A. Power modulation,B. Phase modulation,C. Frequency modulation,D. Amplitude modulation
G6A09,B,Which of the following describes MOSFET construction?,A. The gate is formed by a back-biased junction,B. The gate is separated from the channel by a thin insulating layer,C. The source is separated from the drain by a thin insulating layer,D. The source is formed by depositing metal on silicon
G0A02,D,Which of the following is used to determine RF exposure from a transmitted signal?,A. Its duty cycle,B. Its frequency,C. Its power density,D. All these choices are correct
G4A04,B,What is the effect on plate current of the correct setting of a vacuum-tube RF power amplifier’s TUNE control?,A. A pronounced peak,B. A pronounced dip,C. No change will be observed,"D. A slow, rhythmic oscillation"
G4A07,A,What happens as a receiver’s noise reduction control level is increased?,A. Received signals may become distorted,B. Received frequency may become unstable,C. CW signals may become severely attenuated,D. Received frequency may shift several kHz
G4C05,D,What is a possible cause of high voltages that produce RF burns?,A. Flat braid rather than round wire has been used for the ground wire,B. Insulated wire has been used for the ground wire,C. The ground rod is resonant,D. The ground wire has high impedance on that frequency
G5A01,C,What happens when inductive and capacitive reactance are equal in a series LC circuit?,A. Resonance causes impedance to be very high,B. Impedance is equal to the geometric mean of the inductance and capacitance,C. Resonance causes impedance to be very low,D. Impedance is equal to the arithmetic mean of the inductance and capacitance
G2A11,C,"Generally, who should respond to a station in the contiguous 48 states calling “CQ DX”?",A. Any caller is welcome to respond,B. Only stations in Germany,C. Any stations outside the lower 48 states,D. Only contest stations
G3A09,A,How can high geomagnetic activity benefit radio communications?,A. Creates auroras that can reflect VHF signals,B. Increases signal strength for HF signals passing through the polar regions,C. Improve HF long path propagation,D. Reduce long delayed echoes
G2C04,D,What does the Q signal “QRL?” mean?,A. “Will you keep the frequency clear?”,B. “Are you operating full break-in?” or “Can you operate full break-in?”,C. “Are you listening only for a specific station?”,D. “Are you busy?” or “Is this frequency in use?”
G3C05,C,"Why is long-distance communication on the 40-, 60-, 80-, and 160-meter bands more difficult during the day?",A. The F region absorbs signals at these frequencies during daylight hours,B. The F region is unstable during daylight hours,C. The D region absorbs signals at these frequencies during daylight hours,D. The E region is unstable during daylight hours
G1B07,B,What are the restrictions on the use of abbreviations or procedural signals in the amateur service?,A. Only “Q” signals are permitted,B. They may be used if they do not obscure the meaning of a message,C. They are not permitted,D. They are limited to those expressly listed in Part 97 of the FCC rules
G9B04,A,What is the radiation pattern of a dipole antenna in free space in a plane containing the conductor?,A. It is a figure-eight at right angles to the antenna,B. It is a figure-eight off both ends of the antenna,C. It is a circle (equal radiation in all directions),D. It has a pair of lobes on one side of the antenna and a single lobe on the other side
G5A04,C,Which of the following is opposition to the flow of alternating current in a capacitor?,A. Conductance,B. Reluctance,C. Reactance,D. Admittance
G1A09,C,Which of the following frequencies is within the General class portion of the 15-meter band?,A. 14250 kHz,B. 18155 kHz,C. 21300 kHz,D. 24900 kHz
G1B01,C,What is the maximum height above ground for an antenna structure not near a public use airport without requiring notification to the FAA and registration with the FCC?,A. 50 feet,B. 100 feet,C. 200 feet,D. 250 feet
G6A02,B,What is an advantage of batteries with low internal resistance?,A. Long life,B. High discharge current,C. High voltage,D. Rapid recharge
G4E09,B,What is the approximate open-circuit voltage from a fully illuminated silicon photovoltaic cell?,A. 0.02 VDC,B. 0.5 VDC,C. 0.2 VDC,D. 1.38 VDC
G0A03,D,How can you determine that your station complies with FCC RF exposure regulations?,A. By calculation based on FCC OET Bulletin 65,B. By calculation based on computer modeling,C. By measurement of field strength using calibrated equipment,D. All these choices are correct
G9C08,D,What is meant by the “main lobe” of a directive antenna?,A. The magnitude of the maximum vertical angle of radiation,B. The point of maximum current in a radiating antenna element,C. The maximum voltage standing wave point on a radiating element,D. The direction of maximum radiated field strength from the antenna
G0B06,C,Which of the following is covered by the National Electrical Code?,A. Acceptable bandwidth limits,B. Acceptable modulation limits,C. Electrical safety of the station,D. RF exposure limits of the human body
G2A06,D,"Which of the following is an advantage of using single sideband, as compared to other analog voice modes on the HF amateur bands?",A. Very high-fidelity voice modulation,B. Less subject to interference from atmospheric static crashes,C. Ease of tuning on receive and immunity to impulse noise,D. Less bandwidth used and greater power efficiency
G4B11,C,Which of the following must be connected to an antenna analyzer when it is being used for SWR measurements?,A. Receiver,B. Transmitter,C. Antenna and feed line,D. All these choices are correct
G0A12,D,What stations are subject to the FCC rules on RF exposure?,A. All commercial stations; amateur radio stations are exempt,B. Only stations with antennas lower than one wavelength above the ground,C. Only stations transmitting more than 500 watts PEP,D. All stations with a time-averaged transmission of more than one milliwatt
G2D08,D,Why do many amateurs keep a station log?,A. The FCC requires a log of all international contacts,B. The FCC requires a log of all international third-party traffic,C. The log provides evidence of operation needed to renew a license without retest,D. To help with a reply if the FCC requests information about your station
G4D08,C,What frequency range is occupied by a 3 kHz LSB signal when the displayed carrier frequency is set to 7.178 MHz?,A. 7.178 MHz to 7.181 MHz,B. 7.178 MHz to 7.184 MHz,C. 7.175 MHz to 7.178 MHz,D. 7.1765 MHz to 7.1795 MHz
G4E06,C,What is one disadvantage of using a shortened mobile antenna as opposed to a full-size antenna?,A. Short antennas are more likely to cause distortion of transmitted signals,B. Q of the antenna will be very low,C. Operating bandwidth may be very limited,D. Harmonic radiation may increase
G2E15,C,Which of the following is a common location for FT8?,A. Anywhere in the voice portion of the band,B. Anywhere in the CW portion of the band,C. Approximately 14.074 MHz to 14.077 MHz,D. Approximately 14.110 MHz to 14.113 MHz
G9C10,D,"Which of the following can be adjusted to optimize forward gain, front-to-back ratio, or SWR bandwidth of a Yagi antenna?",A. The physical length of the boom,B. The number of elements on the boom,C. The spacing of each element along the boom,D. All these choices are correct
G4A01,B,What is the purpose of the notch filter found on many HF transceivers?,A. To restrict the transmitter voice bandwidth,B. To reduce interference from carriers in the receiver passband,C. To eliminate receiver interference from impulse noise sources,D. To remove interfering splatter generated by signals on adjacent frequencies
G8A11,A,What is the modulation envelope of an AM signal?,A. The waveform created by connecting the peak values of the modulated signal,B. The carrier frequency that contains the signal,C. Spurious signals that envelop nearby frequencies,D. The bandwidth of the modulated signal
G1E09,A,Under what circumstances are messages that are sent via digital modes exempt from Part 97 third-party rules that apply to other modes of communication?,A. Under no circumstances,B. When messages are encrypted,C. When messages are not encrypted,D. When under automatic control
G5A10,D,Which of the following devices can be used for impedance matching at radio frequencies?,A. A transformer,B. A Pi-network,C. A length of transmission line,D. All these choices are correct
G2C02,A,What should you do if a CW station sends “QRS?”,A. Send slower,B. Change frequency,C. Increase your power,D. Repeat everything twice
G9A06,D,In what units is RF feed line loss usually expressed?,"A. Ohms per 1,000 feet","B. Decibels per 1,000 feet",C. Ohms per 100 feet,D. Decibels per 100 feet
G8C13,D,What is indicated on a waterfall display by one or more vertical lines on either side of a data mode or RTTY signal?,A. Long path propagation,B. Backscatter propagation,C. Insufficient modulation,D. Overmodulation
G4D11,B,How close to the upper edge of a band’s phone segment should your displayed carrier frequency be when using 3 kHz wide USB?,A. At least 3 kHz above the edge of the band,B. At least 3 kHz below the edge of the band,C. At least 1 kHz above the edge of the segment,D. At least 1 kHz below the edge of the segment
G4B04,D,What signal source is connected to the vertical input of an oscilloscope when checking the RF envelope pattern of a transmitted signal?,A. The local oscillator of the transmitter,B. An external RF oscillator,C. The transmitter balanced mixer output,D. The attenuated RF output of the transmitter
G0A09,B,What type of instrument can be used to accurately measure an RF field strength?,A. A receiver with digital signal processing (DSP) noise reduction,B. A calibrated field strength meter with a calibrated antenna,C. An SWR meter with a peak-reading function,D. An oscilloscope with a high-stability crystal marker generator
G8B06,D,What is the total bandwidth of an FM phone transmission having 5 kHz deviation and 3 kHz modulating frequency?,A. 3 kHz,B. 5 kHz,C. 8 kHz,D. 16 kHz
G2E06,B,What is the most common frequency shift for RTTY emissions in the amateur HF bands?,A. 85 Hz,B. 170 Hz,C. 425 Hz,D. 850 Hz
G2C10,D,What does the Q signal “QRN” mean?,A. Send more slowly,B. Stop sending,C. Zero beat my signal,D. I am troubled by static
G7A05,B,What portion of the AC cycle is converted to DC by a half-wave rectifier?,A. 90 degrees,B. 180 degrees,C. 270 degrees,D. 360 degrees
G9D03,C,In which direction is the maximum radiation from a VHF/UHF “halo” antenna?,A. Broadside to the plane of the halo,B. Opposite the feed point,C. Omnidirectional in the plane of the halo,D. On the same side as the feed point
G7C01,B,What circuit is used to select one of the sidebands from a balanced modulator?,A. Carrier oscillator,B. Filter,C. IF amplifier,D. RF amplifier
G4D01,A,What is the purpose of a speech processor in a transceiver?,A. Increase the apparent loudness of transmitted voice signals,B. Increase transmitter bass response for more natural-sounding SSB signals,C. Prevent distortion of voice signals,D. Decrease high-frequency voice output to prevent out-of-band operation
G7B05,C,How many states does a 3-bit binary counter have?,A. 3,B. 6,C. 8,D. 16
G1B09,D,On what HF frequencies are automatically controlled beacons permitted?,A. On any frequency if power is less than 1 watt,B. On any frequency if transmissions are in Morse code,C. 21.08 MHz to 21.09 MHz,D. 28.20 MHz to 28.30 MHz
G5B12,B,What is the RMS voltage across a 50-ohm dummy load dissipating 1200 watts?,A. 173 volts,B. 245 volts,C. 346 volts,D. 692 volts
G4A12,C,Which of the following is a common use of the dual-VFO feature on a transceiver?,A. To allow transmitting on two frequencies at once,"B. To permit full duplex operation -- that is, transmitting and receiving at the same time",C. To transmit on one frequency and listen on another,D. To improve frequency accuracy by allowing variable frequency output (VFO) operation
G4D05,D,"How does a signal that reads 20 dB over S9 compare to one that reads S9 on a receiver, assuming a properly calibrated S meter?",A. It is 10 times less powerful,B. It is 20 times less powerful,C. It is 20 times more powerful,D. It is 100 times more powerful
G9C01,A,Which of the following would increase the bandwidth of a Yagi antenna?,A. Larger-diameter elements,B. Closer element spacing,C. Loading coils in series with the element,D. Tapered-diameter elements
G8C04,C,Which of the following describes Baudot code?,"A. A 7-bit code with start, stop, and parity bits",B. A code using error detection and correction,C. A 5-bit code with additional start and stop bits,D. A code using SELCAL and LISTEN
G2D06,C,How is a directional antenna pointed when making a “long-path” contact with another station?,A. Toward the rising sun,B. Along the gray line,C. 180 degrees from the station’s short-path heading,D. Toward the north
G4E05,C,Which of the following most limits an HF mobile installation?,A. “Picket fencing”,B. The wire gauge of the DC power line to the transceiver,C. Efficiency of the electrically short antenna,D. FCC rules limiting mobile output power on the 75-meter band
G0A05,A,What must you do if an evaluation of your station shows that the RF energy radiated by your station exceeds permissible limits for possible human absorption?,A. Take action to prevent human exposure to the excessive RF fields,B. File an Environmental Impact Statement (EIS-97) with the FCC,C. Secure written permission from your neighbors to operate above the controlled MPE limits,D. All these choices are correct
G3B02,D,What factors affect the MUF?,A. Path distance and location,B. Time of day and season,C. Solar radiation and ionospheric disturbances,D. All these choices are correct
G9B07,B,How does the feed point impedance of a horizontal 1/2 wave dipole antenna change as the antenna height is reduced to 1/10 wavelength above ground?,A. It steadily increases,B. It steadily decreases,C. It peaks at about 1/8 wavelength above ground,D. It is unaffected by the height above ground
G2B07,C,Which of the following complies with commonly accepted amateur practice when choosing a frequency on which to initiate a call?,A. Listen on the frequency for at least two minutes to be sure it is clear,B. Identify your station by transmitting your call sign at least 3 times,C. Follow the voluntary band plan,D. All these choices are correct
G5B07,C,What value of an AC signal produces the same power dissipation in a resistor as a DC voltage of the same value?,A. The peak-to-peak value,B. The peak value,C. The RMS value,D. The reciprocal of the RMS value
G1A07,D,On which amateur frequencies in the 10-meter band may stations with a General class control operator transmit CW emissions?,A. 28.000 MHz to 28.025 MHz only,B. 28.000 MHz to 28.300 MHz only,C. 28.025 MHz to 28.300 MHz only,D. The entire band
G4C03,C,What sound is heard from an audio device experiencing RF interference from a single sideband phone transmitter?,A. A steady hum whenever the transmitter is on the air,B. On-and-off humming or clicking,C. Distorted speech,D. Clearly audible speech
G6B10,A,How does a ferrite bead or core reduce common-mode RF current on the shield of a coaxial cable?,A. By creating an impedance in the current’s path,B. It converts common-mode current to differential mode current,C. By creating an out-of-phase current to cancel the common-mode current,D. Ferrites expel magnetic fields
G2C11,D,What does the Q signal “QRV” mean?,A. You are sending too fast,B. There is interference on the frequency,C. I am quitting for the day,D. I am ready to receive
G1C10,C,What is the maximum symbol rate permitted for RTTY or data emission transmissions on the 10-meter band?,A. 56 kilobaud,B. 19.6 kilobaud,C. 1200 baud,D. 300 baud
G5C08,D,What is the equivalent capacitance of two 5.0-nanofarad capacitors and one 750-picofarad capacitor connected in parallel?,A. 576.9 nanofarads,"B. 1,733 picofarads","C. 3,583 picofarads",D. 10.750 nanofarads
G2B01,C,Which of the following is true concerning access to frequencies?,A. Nets have priority,B. QSOs in progress have priority,"C. Except during emergencies, no amateur station has priority access to any frequency",D. Contest operations should yield to non-contest use of frequencies
G8C01,C,On what band do amateurs share channels with the unlicensed Wi-Fi service?,A. 432 MHz,B. 902 MHz,C. 2.4 GHz,D. 10.7 GHz
G0A11,C,What precaution should be taken if you install an indoor transmitting antenna?,A. Locate the antenna close to your operating position to minimize feed-line radiation,B. Position the antenna along the edge of a wall to reduce parasitic radiation,C. Make sure that MPE limits are not exceeded in occupied areas,D. Make sure the antenna is properly shielded
G6B07,A,Which of the following describes a type N connector?,A. A moisture-resistant RF connector useful to 10 GHz,B. A small bayonet connector used for data circuits,C. A low noise figure VHF connector,D. A nickel plated version of the PL-259
G2C09,C,What does the Q signal “QSL” mean?,A. Send slower,B. We have already confirmed the contact,C. I have received and understood,D. We have worked before
G3B06,C,What usually happens to radio waves with frequencies below the LUF?,A. They are refracted back to Earth,B. They pass through the ionosphere,C. They are attenuated before reaching the destination,D. They are refracted and trapped in the ionosphere to circle Earth
G1A03,B,On which of the following bands is image transmission prohibited?,A. 160 meters,B. 30 meters,C. 20 meters,D. 12 meters
G4E07,D,Which of the following may cause receive interference to an HF transceiver installed in a vehicle?,A. The battery charging system,B. The fuel delivery system,C. The control computers,D. All these choices are correct
G4A08,D,What is the correct adjustment for the LOAD or COUPLING control of a vacuum tube RF power amplifier?,A. Minimum SWR on the antenna,B. Minimum plate current without exceeding maximum allowable grid current,C. Highest plate voltage while minimizing grid current,D. Desired power output without exceeding maximum allowable plate current
G4C07,A,Why should soldered joints not be used in lightning protection ground connections?,A. A soldered joint will likely be destroyed by the heat of a lightning strike,B. Solder flux will prevent a low conductivity connection,C. Solder has too high a dielectric constant to provide adequate lightning protection,D. All these choices are correct
G5C11,C,What is the inductance of a circuit with a 20-millihenry inductor connected in series with a 50-millihenry inductor?,A. 7 millihenries,B. 14.3 millihenries,C. 70 millihenries,"D. 1,000 millihenries"
G2B02,B,What is the first thing you should do if you are communicating with another amateur station and hear a station in distress break in?,A. Inform your local emergency coordinator,B. Acknowledge the station in distress and determine what assistance may be needed,C. Immediately decrease power to avoid interfering with the station in distress,D. Immediately cease all transmissions
G4A06,C,What is the purpose of an antenna tuner?,A. Reduce the SWR in the feed line to the antenna,B. Reduce the power dissipation in the feedline to the antenna,C. Increase power transfer from the transmitter to the feed line,D. All these choices are correct
G6A10,A,Which element of a vacuum tube regulates the flow of electrons between cathode and plate?,A. Control grid,B. Suppressor grid,C. Screen grid,D. Trigger electrode
G2D09,C,Which of the following is required when participating in a contest on HF frequencies?,A. Submit a log to the contest sponsor,"B. Send a QSL card to the stations worked, or QSL via Logbook of The World",C. Identify your station according to normal FCC regulations,D. All these choices are correct
G8A06,D,Which of the following is characteristic of QPSK31?,A. It is sideband sensitive,B. Its encoding provides error correction,C. Its bandwidth is approximately the same as BPSK31,D. All these choices are correct
G5B05,A,"How many watts are consumed when a current of 7.0 milliamperes flows through a 1,250-ohm resistance?",A. Approximately 61 milliwatts,B. Approximately 61 watts,C. Approximately 11 milliwatts,D. Approximately 11 watts
G4B10,A,Which of the following can be determined with a directional wattmeter?,A. Standing wave ratio,B. Antenna front-to-back ratio,C. RF interference,D. Radio wave propagation
G9C12,A,Which of the following is a characteristic of using a gamma match with a Yagi antenna?,A. It does not require the driven element to be insulated from the boom,B. It does not require any inductors or capacitors,C. It is useful for matching multiband antennas,D. All these choices are correct
G9D12,A,What is the common name of a dipole with a single central support?,A. Inverted V,B. Inverted L,C. Sloper,D. Lazy H
G3A08,D,How can a geomagnetic storm affect HF propagation?,A. Improve high-latitude HF propagation,B. Degrade ground wave propagation,C. Improve ground wave propagation,D. Degrade high-latitude HF propagation
G4C01,B,Which of the following might be useful in reducing RF interference to audio frequency circuits?,A. Bypass inductor,B. Bypass capacitor,C. Forward-biased diode,D. Reverse-biased diode
G7C13,D,What term specifies a filter’s maximum ability to reject signals outside its passband?,A. Notch depth,B. Rolloff,C. Insertion loss,D. Ultimate rejection
G4E10,B,Why should a series diode be connected between a solar panel and a storage battery that is being charged by the panel?,A. To prevent overload by regulating the charging voltage,B. To prevent discharge of the battery through the panel during times of low or no illumination,C. To limit the current flowing from the panel to a safe value,D. To prevent damage to the battery due to excessive voltage at high illumination levels
G1B05,B,Which of the following one-way transmissions are permitted?,A. Unidentified test transmissions of less than 10 seconds in duration,B. Transmissions to assist with learning the International Morse code,"C. Regular transmissions offering equipment for sale, if intended for amateur radio use",D. All these choices are correct
G5A06,A,How does a capacitor react to AC?,"A. As the frequency of the applied AC increases, the reactance decreases","B. As the frequency of the applied AC increases, the reactance increases","C. As the amplitude of the applied AC increases, the reactance increases","D. As the amplitude of the applied AC increases, the reactance decreases"
G4B01,D,What item of test equipment contains horizontal and vertical channel amplifiers?,A. An ohmmeter,B. A signal generator,C. An ammeter,D. An oscilloscope
G9D05,D,What is an advantage of vertically stacking horizontally polarized Yagi antennas?,A. It allows quick selection of vertical or horizontal polarization,B. It allows simultaneous vertical and horizontal polarization,C. It narrows the main lobe in azimuth,D. It narrows the main lobe in elevation
G5C02,A,What is the output voltage if an input signal is applied to the secondary winding of a 4:1 voltage step-down transformer instead of the primary winding?,A. The input voltage is multiplied by 4,B. The input voltage is divided by 4,C. Additional resistance must be added in series with the primary to prevent overload,D. Additional resistance must be added in parallel with the secondary to prevent overload
G2C07,A,"When sending CW, what does a “C” mean when added to the RST report?",A. Chirpy or unstable signal,B. Report was read from an S meter rather than estimated,C. 100 percent copy,D. Key clicks
G3B12,D,Which of the following is typical of the lower HF frequencies during the summer?,A. Poor propagation at any time of day,B. World-wide propagation during daylight hours,C. Heavy distortion on signals due to photon absorption,D. High levels of atmospheric noise or static
G5B08,D,What is the peak-to-peak voltage of a sine wave with an RMS voltage of 120 volts?,A. 84.8 volts,B. 169.7 volts,C. 240.0 volts,D. 339.4 volts
G0B11,D,Which of the following is required for lightning protection ground rods?,A. They must be bonded to all buried water and gas lines,B. Bends in ground wires must be made as close as possible to a right angle,C. Lightning grounds must be connected to all ungrounded wiring,D. They must be bonded together with all other grounds
G4E02,D,What is the purpose of a corona ball on an HF mobile antenna?,A. To narrow the operating bandwidth of the antenna,B. To increase the “Q” of the antenna,C. To reduce the chance of damage if the antenna should strike an object,D. To reduce RF voltage discharge from the tip of the antenna while transmitting
G4A13,A,What is the purpose of using a receive attenuator?,A. To prevent receiver overload from strong incoming signals,B. To reduce the transmitter power when driving a linear amplifier,C. To reduce power consumption when operating from batteries,D. To reduce excessive audio level on strong signals
G4A02,C,What is the benefit of using the opposite or “reverse” sideband when receiving CW?,A. Interference from impulse noise will be eliminated,B. More stations can be accommodated within a given signal passband,C. It may be possible to reduce or eliminate interference from other signals,D. Accidental out-of-band operation can be prevented
G9B03,D,Which of the following best describes the radiation pattern of a quarter-wave ground-plane vertical antenna?,A. Bi-directional in azimuth,B. Isotropic,C. Hemispherical,D. Omnidirectional in azimuth
